komentar,rating,tanggal,pengguna
Mantap djiwa pokoknya mah indodax pilihan,5,2025-01-03 18:12:22,Bayu Septyana Ambara
"Saya pemula di indodax, tapi sebelumnya saya sering melihat teman saya trading di indodax dan saya lihat cukup meyakinkan, sehingga saya sangat tertarik dan mencoba peruntungan trading di indodax, Saya juga yakin bahwa indodax adalah aplikasi trading yang cukup aman dan nyaman karena memang sudah terdaftar di Bappebti sehingga bisa dipercaya da no tipu-tipu, aplikasinya mudah di fahami dan coin-coinnya cukup banyak pilihannya tinggal kita lihat mana coin yang akan kita pilih, kita juga bisa mel",5,2025-01-03 18:11:37,Yasir Arafat
Aplikasi yang sangat bagus dalam melakukan investasi apapun di Crypto 👍🏻,5,2025-01-03 17:59:08,Razi Razaq
Good trading,5,2025-01-03 17:35:58,liando sitorus
Deposit mudah WD mudah Investasi mudah dan menguntungkan Ayo segera download & gabung di keluarga besar INDODAX @suanangkaya,5,2025-01-03 17:25:33,NUR RAHMAN
"INDODAX Bursa Kripto yang cukup aman, semoga kedepannya bisa lebih berkembang, mulai dari Market spot buat trading jangka pendek dan Saham 😁",5,2025-01-03 15:45:55,Munir Azhari
"""Saya sudah beberapa kali menggunakan Indodak, dan pengalaman saya sangat memuaskan. Aplikasinya mudah digunakan, transaksi cepat, dan ada banyak fitur menarik untuk kebutuhan finansial. Customer service juga responsif saat saya punya pertanyaan. Semoga ke depannya terus meningkatkan layanan, seperti menambah metode pembayaran. Overall, sangat recommended untuk kebutuhan finansial harian!""",5,2025-01-03 15:45:49,purnama nova
INDODAX Aplikasi termudah menuju masa depan tercerah,5,2025-01-03 15:30:28,Subkhan ابن سبيل
Soo good apk🥰,5,2025-01-03 14:48:52,Farel Balia
Aplikasinya mudah digunakan..informasinya jelas dan semua market komplit ada di platform 8ni,5,2025-01-03 14:36:53,Virya Parama Bodhijaya
Good....User friendly,5,2025-01-03 14:06:51,Wone Jp
Mantap pokoknya b10,5,2025-01-03 12:49:10,Zulfan Nur Faiz
Aplikasinya baik. semoga tetap amanah,5,2025-01-03 12:48:17,Prawoto Prawoto
indodax makin mantap aja,5,2025-01-03 12:43:11,Adnan Haryadi
Good apps,5,2025-01-03 12:21:44,Nikko Saputro
"Sudah di buy di harga terakhir tapi malah naik, pdhl nge hold ny lumayan lama, ada hidden cost ny saat melakukan jual lumayan besar di banding yg lain, market crypto ny tidak up to date (mengikuti hrga global )",1,2025-01-03 12:00:25,Ferdy
ui ramah,5,2025-01-03 11:58:35,Alfin Mursidhan Humam
"Sebagai pelajar saya sangat puas dengan sistem di indodax yg membuat dan mempermudahkan untuk belajar investasi, terimakasih indodax",5,2025-01-03 11:44:56,Ridwan
nice,5,2025-01-03 11:41:28,Yans Abast
Indodax aman terpecaya !!,5,2025-01-03 11:38:32,Jelly Dedy
Mantap sekali trading disini terpercaya dan aman,5,2025-01-03 11:32:22,Firman Ismail
Maintenance coin terlalu lama bisa sampai seminggu astaga,5,2025-01-03 11:30:31,Theo Filus Handoyo
mantapp,5,2025-01-03 11:21:06,fino eka
"nice, mantap sangat membantu",5,2025-01-03 11:19:33,Boim Alka
Mudah di gunakan,5,2025-01-03 11:00:07,Fadlan Ariadi
Learn market very well,5,2025-01-03 10:35:40,Rafli Hadi E.
Great apps. I hope consistently till end,5,2025-01-03 10:23:06,Abdullah Harpersing Nst
Sangat bagus.. mudah simple dan mudah dipahami,5,2025-01-03 10:13:11,keluarga pucuk merah
Pengalaman yang sangat bagus aplikasi treding jadi mudah,5,2025-01-03 09:57:20,Ferid Frimanto
Ok,5,2025-01-03 09:53:00,Eko Cahyono Kurniawan
Mudah,5,2025-01-03 09:51:41,Adie Guna
"Indodax sangat membantu sekali, dalam pembelian koin crypo.",5,2025-01-03 09:49:36,Rahmad Kurniawan
"Aplikasinya exchange yang sangat menarik untuk investasi jangka panjang maupun pendek, dan akan tersedia juga saham US. sangat menarik",5,2025-01-03 09:49:03,Gabrie Jacobus P
Aplikasi bagus dan fiturnya mudah di pahami,5,2025-01-03 09:46:48,arianto akbar
bagus,5,2025-01-03 09:28:54,Ahmad
Good app ... 👍🏻,5,2025-01-03 09:20:13,Vicky Arianto
Top,5,2025-01-03 09:01:18,Muhamad Faisal
saya sudah lama jd pengguna indodak sampai saat ini belum pernah merasa kecewa dengan aplikasi indodak ini. Meskipun belum pernah dapat rejeki besar dr indodax dadansarip49 IndodaxTradingFest2022,5,2025-01-03 07:03:22,dadan sarip
Bagus bisa untuk menabung jangka panjang),5,2025-01-03 06:58:02,Akun Baru
"Jujur sih sebagai pengguna lama di indodax baru kali ini saya review nih aplikasi, ya karna tampilan ui nya berbeda banget dari yang dulu, Dulu itu rada masih sulit membaca ui dan masih bingung, dan sekarang ui nya paling the best banget dan gampang banget membaca tampilan ui nya, Jadi gampang banget buat para pemula, Tetap pertahankan tampilan ui nya buat developer nya.",5,2025-01-03 06:55:28,Mochamad Sulaeman
Selalu berkembang dan Sukses indodax @AgeoSuphyanto,5,2025-01-03 06:47:00,Agung Pangestu
"proses sangat cepat,mudah exchange, mudah memahami",5,2025-01-03 06:20:44,MARIA CHRISTIANI
Saya sangat senang sekali pake indodax sangat mudah dan membantu untuk yg seperti saya ibu rumah tangga🙏 Mari berinvestasi bersama INDODAX untuk maasa depan yang lebih maju ciptakn keuanganmu sendiri tanpa tergantung sama suami🤭 @nilarosiawati#ASETMASADEPAN,5,2025-01-03 06:19:59,Nila Rosiawati
"Halo indodax, saya pengguna baru dengan username : Amarthen. Saya sangat puas dengan Indodax. Antarmuka aplikasinya intuitif, sehingga saya bisa langsung bernavigasi dengan mudah. Fitur-fiturnya juga lengkap, mulai dari trading spot hingga staking. Proses verifikasi akunnya cepat dan aman. Satu saran, mungkin fitur News bisa di translate ke bahasa indonesia, sehingga pengguna yang tidak bisa bahasa inggris bisa ikut update perkembangan kripto. Terima kasih. #AsetMasaDepan",5,2025-01-03 06:13:48,Andrew Marthen
Good investasi,5,2025-01-03 06:08:31,Lukfandi Hilman
Indodax memang terbaik sangat cepat dalam melakukan transaksi cryptogranci sukses selalu indodax 🚀🚀💪💪,5,2025-01-03 05:51:47,Hardiyanto Halik
"So far bagus aplikasinya, sama tolong diperbanyak coin coin nya lagi yang sedang tren .",5,2025-01-03 05:50:35,andri achonk84
Aplikasi mudah dipahami buat pemula,5,2025-01-03 05:39:00,Your Boy
indodax terbaik gampang dan mudah dipakai dindonesia,5,2025-01-03 04:59:21,Fen
Good,5,2025-01-03 04:05:02,Azzalea Aulia
Bagus,5,2025-01-03 03:31:59,I Nyoman Binarsa
Masih sorr malam ini tetap setia gunakan indodax sbab terpercaya dan terdepan best of the best indodax go to the moon,5,2025-01-03 03:26:28,Jocelyn Josephina
Terbaik pokoknya indodax,5,2025-01-03 03:25:46,Ragil Santoso
"aplikasi gajelas udah laporan di live chat, di email panjang lebar udah nyantumin ini itu terkait transfer dari wallet sukses tapi ga masuk di saldo indodax gada kejelasan sama sekali cuma diulang ulang aja laporan nya kalian ada cs ga si. Malu maluin buat aplikasi sekelas gini👎",1,2025-01-03 03:16:54,Permana Putra
Aplikasi bagus dan gampang di gunakan,5,2025-01-03 03:12:49,Mastu Amran
"bagus,,mudah dimengerti pemula",5,2025-01-03 01:59:07,Im Bonjol
"User interfacenya friendly, cocok buat pemula dalam penggunaan aplikasi. dengan memberikan pilihan bahasa Indonesia & Inggris sehingga memudahkan user dalam memahami cara menggunakan aplikasi ini",5,2025-01-03 01:58:55,Saharuddin Mamma
semoga bisa membantu keuangan keluarga..aminnnn,5,2025-01-03 01:42:30,AmiNos Yeah
"Alhamdulillah, i am cameback guys, lets to trading, but not money please help admin indodax, recomended platform from indonesia.....",5,2025-01-03 00:52:07,Anymos Jakarta
"Mantap apk nya, mudah di mengerti, ada ada masalah cs cepat respon",5,2025-01-03 00:45:35,Serjana Merah
Baru mau coba mencoba,5,2025-01-03 00:32:12,Alfarizky putra asdori
good,5,2025-01-03 00:12:17,Rasya Putra wijaya
Mantab aplikasi nyaa,5,2025-01-03 00:01:00,Angga Ariandika
"mantap apk indodax,, kalo boleh saya bagi lah $10 dollar",5,2025-01-03 00:00:46,squad manings
aplikasi ini cocok untuk anda yng ingin berinvestasi bitcoin dan saham lainnya,5,2025-01-02 23:19:37,Dimas Seftiyanto
Flatporm yg mudah dan memberi pengalaman luas.mantap,5,2025-01-02 23:13:19,Mince vlog
Mantaaaabbb updatenya real-time jozzz pokoknya indodax mantaaabbb pokoknya bullish di sini,5,2025-01-02 23:08:48,rumah fariz
Tampilanya sekarang keren dan simple 👍,5,2025-01-02 23:07:39,rizky dzulkipli
Indodax gass poll lah,5,2025-01-02 23:07:08,Agus Budiyanto
Terpecaya Joss mantap. sudah 4 tahun Makai keamanan kwalitas tinggi,5,2025-01-02 23:07:05,Andik Suryandana
"Bagus,mudah di mengerti untuk belajar",5,2025-01-02 22:53:59,Rony Nopianto
Kelebihan Aplikasi - Aplikasi ini memiliki antarmuka pengguna yang intuitif dan mudah digunakan. - Fitur-fitur aplikasi ini memudahkan pengguna untuk melakukan transaksi. - Keamanan aplikasi ini sangat baik sehingga pengguna merasa aman dalam melakukan investasi. - Layanan pelanggan aplikasi ini sangat responsif dan membantu. Pengalaman Investasi Saya telah menggunakan aplikasi INDODAX 3.0 selama beberapa bulan dan saya sangat puas dengan pengalaman investasi saya. Aplikasi ini memudahkan saya,5,2025-01-02 22:49:12,Mama Gupas
keren,5,2025-01-02 22:45:20,Michael Pangaribuan
Aplikasi cukup membantu,5,2025-01-02 22:34:49,ANDREY Popola
"Sebagai pemula saya mudah memahami cara membeli dan menjual, dan prosesnya juga cepat, terimakasih indodax",5,2025-01-02 22:33:49,Koceng Koceng
"Indodax memberikan kemudahan dalam pengambilan perdagangan di spot,saya sebagai trader future forex beralih ke spot Indodax",5,2025-01-02 22:31:14,Bambang SR
"Cara penggunaan nya tidak begitu susah ,untuk withdraw tolong ditambahkan jangan hanya bank saja dan untuk withdraw ke bank persyaratan nama indodax dengan bank jangan harus sama, Terima kasih.",5,2025-01-02 22:25:28,Surya Prasetyo
Mantap,5,2025-01-02 22:19:08,Jemz Lamato
Nice market investment,5,2025-01-02 22:13:20,Fery Nofian Januari
Awal mulai menggunakan aplikasi indodax saya merasa kagum karena mudah di mengerti untung orang pemula seperti saya,5,2025-01-02 22:12:15,Mikhael Dolorosa
bagus untuk menyimpan uang,5,2025-01-02 22:09:59,ArsyaFarabi
Open order buy di jam 20:08 sampai jam 21:40 belum terproses kecewa banget saya,3,2025-01-02 21:41:16,guntursatria 41
"Kebiasaan lewat android tapi mau pakai PC, susahnya bukan main putar kesana kemari konfirmasinya",1,2025-01-02 21:34:57,Dharma Bakti
"Aplikasi perdagangan terbaik aman dan tepercaya, mudah di mengerti. Tampilan ui menarik dan simpel. Proses depo dan wdnya pun cepat good👍",5,2025-01-02 21:22:28,Wahyu Radiata
mau verifikasi susahnya minta ampun,1,2025-01-02 21:19:58,Daily Kawe
aplikasi nya mudah di pelajari buat pemula,5,2025-01-02 21:19:45,Cannick PH
Naruh uang 200 JT saya WD lagi karena penasaran akhirnya masuk ke rekening dan saya akan nabung di indodax 🥰🥰,5,2025-01-02 20:54:16,MUHAMMAD SYAM SYAUQI RIHADATUL AISY ALJAZANI
Mantap indodax,5,2025-01-02 20:54:13,Rifki Arief rahman
Bolehlah,4,2025-01-02 20:53:52,Ali Alfafidzi
"Keamanan terbaik dan sumber terpercaya, semoga untuk kedepan nya selalu naik dan semoga kedepannya indodax juga menyediakan fitur fitur terbaiknya",5,2025-01-02 20:37:26,nur cholis majid
Keren.. Cocok banget untuk trader pemula.. Bisa belajar dgn deposit kecil dulu.. Dan mudah juga melihat pergerakan pasarnya.,5,2025-01-02 20:37:12,Risk Key Music
Indodax exchange yang gue percaya menemani perjuangan crypto gue di thn 2025,5,2025-01-02 20:25:05,Ferdi Andrian
"Cukup bagus untuk trader pemula, gampang di pahami",4,2025-01-02 20:22:34,Yudha Mediarsa
Trading Crypto Lebih Mudah Menggunakan Indodax,5,2025-01-02 20:12:16,Rey 12
"Aplikasinya sangat bagus untuk investasi dan mengenal aset cripto, apalagi sudah ada saham saham milik US",5,2025-01-02 20:10:52,Muhammad Hadi Annajih
"Mantab ,ditunggu rewardnya :)",5,2025-01-02 20:08:01,Kiki Saputra
Sangat berguna untuk investasi cripto,5,2025-01-02 20:02:05,Iswanto Joss
Apk indodax sangat simple dan mudah digunakan untuk pembelian coin2 nya dan transaksi penarikan bisa masuk dengan cepat,5,2025-01-02 19:58:59,Agung Dermawan
"Cukup baik, tampilannya cukup mudah dipahami oleh pemula seperti saya, semoga dengan indo dax ini dunia trading di Indonesia semakin maju",4,2025-01-02 19:55:02,valent davly
INDODAX sangat mudah di gunakan untuk pemula seperti saya. sangatt membantu untuk terjun di dunia crypto. USER : pemulatreder,5,2025-01-02 19:53:01,Cipto
"pas naik coin maintenance, rugpull baru normal. intinya pas untung ga bisa jual, pas rugi baru bisa jual",1,2025-01-02 19:46:19,MARKAS PONSEL
Keren,5,2025-01-02 19:34:36,wildan
Manta bosku,5,2025-01-02 19:33:45,RAMA DONI
apknya ngelag woii benerin laa aneh banget tolong respon,2,2025-01-02 19:32:18,IL Ham
Aplikasi yang membantu untuk kita yang mau berinvestasi dicripto.,5,2025-01-02 19:29:36,Ahmad abdul Aziz
"apk nya mantab banget, beneran cocok buat pemula apalagi minimum belinya 10k doang jadi lebih mudah buat memulai investasi crypto, dan sejauh ini saya belom nemuin bug atau halangan dalam transaksi, mungkin saran saya penarikanya bisa melalui e wallet lainya jangan cuma beberapa agar lebih mudah melakukan investasi crypto kedepany, mungkin hanya itu keluh kesah saya, terima kasih.",5,2025-01-02 19:27:06,Raditya Rezatulloh
"gua deposit udah tf komplen dana ga masuk"" woi!!!!",5,2025-01-02 19:08:39,abednego
Aplikasi trading yg bagus,5,2025-01-02 18:50:14,Adam Alamsyah
Mudah dimengerti. Walaupun saya baru tapi karena interfacenya sangat friendly maka mudah dipahami terutama bagi pemula atau orang yang hanya ingin investasi jangka panjang menjadi mudah,5,2025-01-02 18:49:10,syamsurizal talib
Aplikasi yang sangat mudah untuk investasi,5,2025-01-02 18:33:54,Riza Rahayu
Membantu sekali untuk belajar trading,5,2025-01-02 18:27:59,yuko pamungkas
"Dan yap nggak perlu diragukan lagi, dengan ui yang mudah dipahami bagi pemula dan ada fitur chat room sudah membuktikan bahwa indodax aplikasi untuk trading terbaik🥰 . Username:SYAIFUL_RAFIE #Aset Masa Depan",5,2025-01-02 18:12:34,Syaiful Rafi
Trying to learn it,5,2025-01-02 18:10:35,Curiousness World
siap cari cuan... 👍,5,2025-01-02 18:01:03,edi winarno
🥳,5,2025-01-02 17:34:29,Beni Hermono
"Pertama kali pakai Indodax, sangat mudah penggunaannya. Lancar, pilihan bank yang sangat banyak memudahkan kit Untuk bertransaksi",5,2025-01-02 17:31:51,Dita Ariliyanti
Kok apk nya kluar² sendiri rusak apa ginana,1,2025-01-02 17:28:49,dika injektor
mantap,5,2025-01-02 17:27:04,Binsar Panggabean
SANGAT BAGUS UNTUK TRADING SILAKAN DI DOWNLOAD,5,2025-01-02 16:47:42,YEREMIA
Indodax Tooop. Jual beli crypto di Indodax sangat mudah dan nyaman.,5,2025-01-02 16:36:27,ISWAN DUKOMALAMO
Sangat bagus untuk pemula aplikasi ini,5,2025-01-02 16:21:31,David Perdana
Indodax memang keren dan lengkap...,5,2025-01-02 16:18:45,muda kelana
Mntap apk nya,4,2025-01-02 16:14:08,Misbachul Munir
Keep the best for the best indodax .,5,2025-01-02 15:51:51,Denis Budiman
Menarik,5,2025-01-02 15:21:58,Dwiki H
Lama sekali ngirim usdt udh 1jam ga masuk2 KECEWA,1,2025-01-02 15:03:14,krisanpat 24
Saya telah menggunakan Indodax selama [waktu] dan sangat puas dengan pengalaman trading kripto di platform ini. Kelebihan: 1. Mudah digunakan dan navigasi intuitif. 2. Variasi kripto yang luas. 3. Biaya transaksi kompetitif. 4. Dukungan pelanggan responsif. 5. Keamanan yang baik.,5,2025-01-02 14:59:45,bagus angga primajaya
"Great,how about my reward ?",5,2025-01-02 14:59:05,Anandito Prihanala
Nice,4,2025-01-02 14:52:37,dekan rahmat
"Bagus untuk pemula hingga profesional, transaksi instant.",5,2025-01-02 14:43:23,Halim Darma
"Pelayanan buruk sekali najis, aplikasi ga jelas jelek anj",1,2025-01-02 14:41:02,Fauzan Inaya
"Pengalaman dalam menggunakan Indodax. Beberapa keuntungan, Jaminan aman baik akun data dan transaksi , Fitur lengkap dan mudah di pahami",5,2025-01-02 14:40:17,Rouf AB
Mantap,5,2025-01-02 14:22:13,suyanto matoneng
Sangat menakjubkan dan mudah di pelajari,5,2025-01-02 14:18:14,NLS 13
mudah investasi INDODAX 3.0 dengan HP android simple dan mempermudah saat trading rehan0191,5,2025-01-02 14:09:47,Fandi Bendot
Indodax terpercaya dan terbukti lngkp crypto nya dan mudah pengoperasiannya mantul buat indodax sukses selalu toooop,5,2025-01-02 13:49:49,ZAKI CHANEL
"Selama hidup... Gw belum pernah menang dalam hal apapun. Tapi di indodax gw udah berkali-kali menang dlm hal keuangan. Sayang gw kenal indodax baru di tahun 2023. Coba lebih lama gw kenal lu. Semoga 2025 cuan nya makin max. Amin Sebelumnya makasih indodax,",5,2025-01-02 13:17:41,Sello Phone
Kadang sjka lama prosesnya,5,2025-01-02 13:13:37,Dsf Ufoy
Oke,5,2025-01-02 13:03:05,Indra Eksbles
mantap,5,2025-01-02 12:43:57,fahrul ozyy
Mantap,5,2025-01-02 12:35:10,Nanang
"Crypto avax mt ampe sebulan lebih, di apk lain masih bisa, indodax lawak",1,2025-01-02 12:34:29,Irpan Setiawan
"indodax sangat membantu dalam transaksi crypto currency, sebagai pemula untuk saya aplikasinya mudah dimengerti dan tentu fiturnya banyak. terima kasih indodax",5,2025-01-02 11:34:30,Agus Saepuloh
"Aplikasi indodax Sangat membantu dalam dunia market, exchange terbesar se-Indonesia... Pasti aman,pasti terpercaya Indodax Good job👍",5,2025-01-02 11:07:28,Bang Okay
Username (RushLpg) indodax merupakan exchange crypto yang sudah saya sudah gunakan dari 2021 dan alhamdulillah tidak ada kendala sejauh ini dan sangat mudah aplikasi ini digunakan ntaps pokoknya 🔥🔥,5,2025-01-02 10:59:01,Hidayat Eko Prasetyo
"Terpercaya, sangat mudah digunakan untuk investasi @dvaex",5,2025-01-02 10:52:12,Fq 19
Luar biasa indodqx adalah jalan menuju kesuksesan finansial,5,2025-01-02 10:37:12,Elzar Salean
"Dear indodax,, aplikasi baik, saya sebagai pemula bisa belajar trading di indodax, pilihan coin bnyak, mudah di gunakan",5,2025-01-02 10:15:34,Logenakurius Akurius
"aplikasi nya bagus mudah dimengerti,sudah lama menjadi member indodax,semoga bisa selalu jadi yang terbaik dan menjadi platform treding nomor 1",5,2025-01-02 10:12:39,sadarul aldy
"Indodax adalah exchange terlengkap, Aplikasinya jelas, banyak pilihan koin ataupun meme coin, Padaatt dan jelas",5,2025-01-02 09:33:50,Siha Humairah
"Alhamdulillah, amanah.",5,2025-01-02 09:28:10,Dedah Jubaedah
"josss,bwt income pasif",5,2025-01-02 08:59:45,Babeh faisal
"eksekusi trading terlalu lambat, ketika order limit harga sudah masuk maka tdk langsung terisi coin yg diinginkan. butuh jeda waktu yg lama. mengecewakan dan harus segera diperbaiki",3,2025-01-02 08:13:20,Pramono Adi
"saya telah mencoba banyak exchange namun indodax 3.0 ini yang paling mudah dan membantu banyak sekali pelajaran yang bisa saya ambil dari sini mulai dari fitur academy dimana saya mendapatkan ilmu trading dari fitur academy, fitur live chat nya pun sangat fast respon, dan fitur yang jarang ditemukan diexchange lain ialah chatroom bisa ngobrol sesama trader dan berbagi ilmu, koin nya juga banyak, deposit dan penarikan nya pun sangat cepat. exchange terbaik di indonesia🔥 @Robby188 #AsetMasaDepan",5,2025-01-02 08:07:35,Robby Rivaldy
Udah di download tapi ngak bisa dibuka,2,2025-01-02 07:35:31,Tira Marwan
"Mohon di bantu ,saya tidak bisa masuk ke akun saya ,padahal smua data yang masukan benar ,",1,2025-01-02 07:12:16,Vella Sasa7@gmail.com
"Selama saya pake ,bagus aman ,pokoknya tingkatkan terus....",5,2025-01-02 06:42:32,Sandy Rosadi
Aplikasi terpercaya dan memuaskan.. Pokok e mantep tep Jos..,5,2025-01-02 05:13:35,Petrovx Law
"Transaksi deposit, wd, arbitrum gak semudah dan secepat sebelumnya",2,2025-01-02 02:10:08,Aiz Alfaritsi
Aplikasi ini sangat bagus dan bagi pemula yg ingin main di bermain di uang crypto juga sangat mudah karena indodax memberikan referensi dan berita2 tentang uang kripto terbaru ( khoirin82),5,2025-01-02 02:01:12,Khoirin Khoirin
Terimakasih saya baru pertamakali mengenal kripto. ternyata di indodax sangat mudah bagi pemula. sukses terus. ❤️❤️❤️,5,2025-01-02 02:00:15,Koko Koeswara
Indodax mudah buat trading menguntungkan.,5,2025-01-02 01:08:24,Supandi Desember
Aplikasi menyusahkan. Tidak ada pemberitahuan kalau harus rekening top up sama dengan nama di akun. Request refund saja mesti direpotkan dgn mutasi rekening. Bukti transfer seharusnya cukup. Padahal jelas2 ada dana masuk bisa di tracking. Sangat mengecewakan bagi orang baru seperti saya.,1,2025-01-01 23:56:17,Adiet Andriancoko
indodax investasi crypto terpercaya,5,2025-01-01 23:22:58,Iman Rahmat
Jangan ragu untuk cari cuan di indodax karna aplikasi yang satu ini beneran nyata untuk menghasilkan cuan,5,2025-01-01 22:33:02,Arul Tuluk
Sangat aman bget guys udah hampir 7 thn saya main kemananya sanggar ketat....,5,2025-01-01 22:27:23,Dias Trianto
"@sahwanhamzah75 #AsetMasaDepan, Mudahnya investasi dengan mobile app INDODAX 3.0 vesi iOS atau Android. Aplikasi INDODAX sangat bagus untuk para investor dan trader kripto di indonesia, dengan fitur² yg lengkap dan dukungan yg baik, INDODAX menjadi pilihan utama bagi banyak pengguna. kita dapat melakukan transaksi kripto kapan saja dari mana saja, bahkan selama libur. aplikasi ini menyediakan fitur seperti chart, analisa teknikal, dan stop loss yg sangat membantu trader, saya pribadi sangat puas",5,2025-01-01 22:23:13,sahwan hamzah75
sangat memuaskan,5,2025-01-01 22:14:17,Fargiz Pratama
Terimakasih indodax telah mengubah hisup saya 😍 buat kalian gen Z nih mending download indodax sekarang.. Indodax kripto aman mudah cuan..,5,2025-01-01 22:12:11,OH Iya
Saya tertolong dengan aplikasi ini sangat wort it buat investasi masa depan user name WAHYU_ARIWIBOWO2401,5,2025-01-01 20:35:56,Vtube
Hanya indodax paling top,5,2025-01-01 19:01:14,AhmadRizal 7
"Sudah satu tahun+ saya pakai indodax makin kesini servernya lemot banget untuk jual beli sehingga menyebabkan banyak di kerugian krna buy/sell nya lemot tidak seperti apk lain, dan terpaksa saya harus meninggalkan apk ini. 🙏",1,2025-01-01 18:33:07,ahmad Yayan
"Menurut saya, Indodax sangat cocok untuk pemula dan pengguna di Indonesia. Antarmukanya mudah digunakan, mendukung transaksi dengan Rupiah, dan menawarkan keamanan tinggi melalui 2FA. Pilihan aset kriptonya beragam, dan layanan pelanggannya responsif, sehingga membuat pengalaman trading jadi nyaman dan aman bagi pemula maupun trader berpengalaman.",5,2025-01-01 18:13:03,Fadhiil Muhammad
"Saya baru pertama treding dan tidak tau sama sekali cara treding sebelumnya, tapi di Indodax saya bisa tau dan belajar treding karena tampilan yang friendly, terimakasih indodax. Indodax terbaik",5,2025-01-01 17:15:21,triyo alex
boleh saran gak sih? dibagian nominal esimasi nilai aset biar ada pilihan tampilan USDT. biar jangan IDR tampilannya.. biar terlihat lebih simpel 🙏,5,2025-01-01 17:11:16,Maula's Father
"Indodax adalah investasi yang simple ,mudah, dan terbaik",5,2025-01-01 17:03:45,Betmen Hitam
Selama saya pake indodax beli crypto jadi lebih gampang,5,2025-01-01 16:17:03,gamer king
"Aplikasi yang sangat bagus, mudah untuk dapat cuan. Aset aman dan terpercaya",5,2025-01-01 16:00:12,Susanto Anto
"Deposit Koin Gak masuk ,, status pengiriman sudah berhasil,,tapi INDODAX gak bertanggung jawab,malah di mintai uang 300k untuk biaya refund ,aneh ,, tolong kembalikan uang konsumen",1,2025-01-01 15:00:43,Aldiraf23
Variasi aset kripto yang luas (lebih dari 100 koin),5,2025-01-01 14:47:15,Sky Drone
"Trading kripto di indodax emang top banget, tinggal klik2 aja, ragam koin juga buanyak dan komplet, yg baru2 juga cepet muncul diindodax. Pas trouble kemarin juga sat set udah bener LG dan saldo bener2 utuh guys, top markotop deh, setor tarik ke wallet lain juga mudah, top up saldo juga wuss cepet, admin juga quick respon, indodax terdepan deh utk trading kripto",5,2025-01-01 14:18:16,Retno Susanti
Tolong dong indodax bisa Menampilkan lebih banyak koin kripto.. masa cuma 200 lebih.. coba dong ampir 500 koin yg ada . Mw nyari coin yg di tuju ga ada.. di indodax kurang lengkap 🙏,4,2025-01-01 14:18:14,Fadlan Lubis
Transaksi trading mudah dan menguntungkan ga pake ribet @Yogi78,5,2025-01-01 14:11:15,Supra Yogi
"Sebagai pemula di dunia cryptocurrency, saya merasa Indodax adalah aplikasi terbaik untuk memulai karena: 1. Desain Antarmuka yang Ramah Pengguna 2. Registrasi dan Keamanan yang Unggul 3. Beragam Pilihan Aset Kripto apalagi yang yang akan hype di 2025 AI dan meme 4. Proses Deposit dan Withdraw Cepat 4. Fitur Trading Lengkap Spot Market,Stop-Loss & Take-Profit,Grafik TradingView lengkap dengan indikator teknikal seperti RSI dan MACD dan yang paling wah Reward dan Fitur Staking mantaaaaaap!!!!",5,2025-01-01 14:09:37,Agung Tri Sugihananto S
Saya kecewa dengan indodax... Saat akan withdraw ternyata sangat sulit sekali... Verifikasi email sudah giliran pengiriman kode otp lewat telp... Suara telp yg saya dengar tdk jelas... Bahkan hingga 2x telp saya juga tdk bisa mendengar dengan jelas kode otp nya padahal sdh memakai headset... Buat kalian yang mau invest crypto mending ditempat lain krn disini cenderung ribet dan berbelit serta waktu wd nya juga lama banget... Dari penjualan aset crypto ke rupiah sangat lama,2,2025-01-01 13:56:57,Mujiatun
"Aplikasi indodax trading under BAPPEBTI, Aman, Nyaman dan berkualitas Username : satriadarma81",5,2025-01-01 13:43:12,Satria81 Channel
"1. ""Saya sangat puas dengan aplikasi Indodax. Mudah digunakan, fitur-fitur lengkap dan pelayanan pelanggan sangat baik."" 2. ""Indodax adalah pilihan terbaik untuk trading crypto di Indonesia. Aman, cepat dan stabil."" 3. ""Aplikasi ini sangat intuitif dan mudah digunakan bahkan untuk pemula."" 4. ""Saya senang dengan kemudahan transaksi dan variatifnya pilihan aset digital."" 5. ""Indodax memenuhi kebutuhan saya sebagai trader crypto.""",5,2025-01-01 12:39:00,Anang Firman
Ber investasi di INDODAX mudah ayo buruan keren maju bersama INDODAX,5,2025-01-01 11:26:39,putra cs
"Indodax aplikasi penyimpanan koin crypto terpercaya,deposito dan withdraw yang aman dan cepat dan info2 tentang crypto yang akan bullish dan bearish saya sudah lama pakai Indodax,tq the best💯👍👍👍👍👍",5,2025-01-01 10:46:33,Cipto Cipto
"indodax adalah aplikasi investasi crypto yang dirancang untuk pemula hingga investor berpengalaman. Dengan antarmuka yang intuitif, aplikasi ini mempermudah pengguna untuk membeli, menjual, dan melacak digital marketing",5,2025-01-01 10:42:22,hanaffi saleh
"Indodax sangat mudah untuk di mengerti cocok untuk pemula,tidak ribet... bagus buat Aset Masa Depan, mantapp👍",5,2025-01-01 10:17:07,Trade Muda
Apk rwkomended mudah d mengerti bagi pemula,5,2025-01-01 10:15:28,Agus Gunawan
Untuk koin koin baru sedikit lebih lambat ya di indodax,4,2025-01-01 09:51:57,Lias Deni
"Jelek untuk jual aja lama sekali match nya, ga kaya aplikasi sebelah",1,2025-01-01 08:46:51,Mr Btx
